"dptvar";"shrinkage";"tree.complexity";"bag.fraction";"stepsize";"optimal.trees";"min.RMSE";"dev.tot";"dev.res";"dev.exp";"nbrobs";"p.dev.exp"
"TSS";0.03;4;0.8;10;123;0.927113722700015;1.3536097165265;0.859583712287532;0.494026004238968;326;36.5
"aCDOM400";0.03;4;0.8;10;97;0.372597799157593;0.171241716976082;0.138834636927085;0.0324070800489968;395;18.9
"TSS";0.03;5;0.8;10;117;0.928844402572262;1.3536097165265;0.862819162152106;0.490790554374395;326;36.3
"aCDOM400";0.03;5;0.8;10;89;0.372229235889598;0.171241716976082;0.138559669917261;0.0326820470588206;395;19.1
"TSS";0.03;1;0.9;10;235;0.933415066004523;1.3536097165265;0.871278324253718;0.482331392272783;326;35.6
"aCDOM400";0.03;1;0.9;10;297;0.377840321334939;0.171241716976082;0.142775056692663;0.0284666602834181;395;16.6
"TSS";0.03;2;0.9;10;147;0.926225108462491;1.3536097165265;0.857898746543753;0.495710969982747;326;36.6
"aCDOM400";0.03;2;0.9;10;187;0.374204956550592;0.171241716976082;0.140037864274789;0.0312038527012928;395;18.2
"TSS";0.03;3;0.9;10;133;0.929208385798212;1.3536097165265;0.863456418239788;0.490153298286713;326;36.2
"aCDOM400";0.03;3;0.9;10;131;0.372414496378811;0.171241716976082;0.138697632882017;0.0325440840940643;395;19
"TSS";0.03;4;0.9;10;117;0.930085052035376;1.3536097165265;0.865103125149917;0.488506591376583;326;36.1
"aCDOM400";0.03;4;0.9;10;103;0.372370637547027;0.171241716976082;0.138665603775164;0.0325761132009174;395;19
"TSS";0.03;5;0.9;10;129;0.926960161861282;1.3536097165265;0.859302453577987;0.494307262948513;326;36.5
"aCDOM400";0.03;5;0.9;10;95;0.372842957366224;0.171241716976082;0.139017524565428;0.032224192410654;395;18.8
"TSS";0.03;1;1;10;311;0.929947004352157;1.3536097165265;0.864826103821685;0.488783612704816;326;36.1
"aCDOM400";0.03;1;1;10;377;0.377859588695633;0.171241716976082;0.142789415964733;0.0284523010113488;395;16.6
"TSS";0.03;2;1;10;177;0.924302208126025;1.3536097165265;0.854368506130394;0.499241210396107;326;36.9
"aCDOM400";0.03;2;1;10;193;0.375266535354269;0.171241716976082;0.140834019596622;0.0304076973794596;395;17.8
"TSS";0.03;3;1;10;139;0.928026496288217;1.3536097165265;0.861254316136405;0.492355400390095;326;36.4
"aCDOM400";0.03;3;1;10;159;0.37283882475843;0.171241716976082;0.139012646185139;0.0322290707909429;395;18.8
"TSS";0.03;4;1;10;153;0.927805576785827;1.3536097165265;0.860856010656886;0.492753705869615;326;36.4
"aCDOM400";0.03;4;1;10;119;0.373286770486169;0.171241716976082;0.139347666783899;0.0318940501921828;395;18.6
